accession
GCF_000993745.1
GCF_001272635.1
GCF_001572685.1
GCF_001610935.1
GCF_001640765.1
GCF_001721625.1
GCF_001936415.1
GCF_002111405.1
GCF_002189695.1
GCF_002285535.1
GCF_002285735.2
GCF_002688665.1
GCF_002736265.1
GCF_002803825.1
GCF_002812525.1
GCF_002831545.1
GCF_003144175.1
GCF_003285225.1
GCF_003285245.1
GCF_003288175.1
GCF_003352205.1
GCF_003352225.1
GCF_004843685.1
GCF_007724845.1
GCF_009192465.1
GCF_009192495.1
GCF_009192525.1
GCF_009192565.1
GCF_013488085.1
GCF_013488105.1
GCF_013488125.1
GCF_013488145.1
GCF_013488165.1
GCF_013488185.1
GCF_014192345.1
GCF_014192525.1
GCF_014843055.1
GCF_014843075.1
GCF_014843095.1
GCF_014874555.1
GCF_015291825.1
GCF_015908885.1
GCF_015908985.1
GCF_016774475.1
GCF_016887735.2
GCF_017309405.1
GCF_017372155.1
GCF_018885285.1
GCF_019297755.1
GCF_019794195.1
GCF_019856275.1
GCF_019856315.1
GCF_019856335.1
GCF_019856355.1
GCF_019856375.1
GCF_019856395.1
GCF_019856415.1
GCF_019856455.1
GCF_019856475.1
GCF_019967855.1
GCF_020462325.1
GCF_020541705.1
GCF_020541715.1
GCF_020541945.1
GCF_020541965.1
GCF_020542025.1
GCF_020542045.1
GCF_021729385.1
GCF_021729405.1
GCF_022354845.1
GCF_022964955.1
GCF_023023005.1
GCF_024206595.1
GCF_024206615.1
GCF_024206635.1
GCF_024206655.1
GCF_024206675.1
GCF_024206695.1
GCF_024206715.1
GCF_024206735.1
GCF_024206755.1
GCF_024220075.1
GCF_024220115.1
GCF_024498155.1
GCF_024509515.2
GCF_024582755.1
GCF_024582915.1
GCF_024582935.1
GCF_024582955.1
GCF_024582975.1
GCF_024582995.1
GCF_024583015.1
GCF_024583035.1
GCF_024583055.1
GCF_024583075.1
GCF_024583095.1
GCF_024583115.1
GCF_024583135.1
GCF_024753125.1
GCF_025946865.1
GCF_025946885.1
GCF_025946905.1
GCF_025946925.1
GCF_025946945.1
GCF_025980045.1
GCF_029203915.2
GCF_029542025.1
GCF_029542065.1
GCF_029542385.1
GCF_031629215.1
GCF_031767395.1
GCF_031767605.1
GCF_031767625.1
GCF_031767645.1
GCF_032147025.1
GCF_032147105.1
GCF_032230435.1
GCF_032230945.1
GCF_032230965.1
GCF_032230985.1
GCF_032231005.1
GCF_034047115.1
GCF_034317095.1
GCF_034440185.1
GCF_036320595.1
GCF_037940715.1
GCF_038650695.1
GCF_044361715.1
GCF_046245185.1
GCF_048213105.1
GCF_049163785.1
GCF_049163795.1
GCF_049164385.1
GCF_049164415.1
GCF_049164905.1
GCF_049164955.1
GCF_049165385.1
GCF_049165415.1
GCF_049165925.1
GCF_049165935.1
GCF_049166465.1
GCF_049166495.1
GCF_049166525.1
GCF_049166535.1
GCF_049166545.1
GCF_049166555.1
GCF_049166565.1
GCA_000993745.1
GCA_001272635.1
GCA_001572685.1
GCA_001610935.1
GCA_001640765.1
GCA_001721625.1
GCA_001936415.1
GCA_002111405.1
GCA_002189695.1
GCA_002285535.1
GCA_002285735.2
GCA_002688665.1
GCA_002736265.1
GCA_002803825.1
GCA_002812525.1
GCA_002831545.1
GCA_003144175.1
GCA_003285225.1
GCA_003285245.1
GCA_003288175.1
GCA_003352205.1
GCA_003352225.1
GCA_004843685.1
GCA_007724845.1
GCA_009192235.1
GCA_009192245.1
GCA_009192265.1
GCA_009192315.1
GCA_009192325.1
GCA_009192355.1
GCA_009192365.1
GCF_900143575.1
GCF_900475585.1
GCF_901543625.1
GCF_902702745.1
GCF_902702755.1
GCF_902702765.1
GCF_902702775.1
GCF_902702785.1
GCF_947096915.1
GCF_947097575.1
GCF_947098765.1
GCF_947098795.1
GCF_947098835.1
GCF_947098855.1
GCF_947099305.1
GCF_947101065.1
GCA_009192405.1
GCA_009192425.1
GCA_009192435.1
GCA_009192465.1
GCA_009192495.1
GCA_009192525.1
GCA_009192535.1
GCA_009192555.1
GCA_009192565.1
GCA_009192595.1
GCA_009192625.1
GCA_009192645.1
GCA_009192655.1
GCA_009192665.1
GCA_009192675.1
GCA_013488085.1
GCA_013488105.1
GCA_013488125.1
GCA_013488145.1
GCA_013488165.1
GCA_013488185.1
GCA_014192345.1
GCA_014192525.1
GCA_014843055.1
GCA_014843075.1
GCA_014843095.1
GCA_014874555.1
GCA_015291825.1
GCA_015908885.1
GCA_015908985.1
GCA_016774475.1
GCA_016887735.2
GCA_017309405.1
GCA_017372155.1
GCA_018885285.1
GCA_019297755.1
GCA_019794195.1
GCA_019856275.1
GCA_019856315.1
GCA_019856335.1
GCA_019856355.1
GCA_019856375.1
GCA_019856395.1
GCA_019856415.1
GCA_019856455.1
GCA_019856475.1
GCA_019967855.1
GCA_020462325.1
GCA_020541705.1
GCA_020541715.1
GCA_020541945.1
GCA_020541965.1
GCA_020542005.1
GCA_020542025.1
GCA_020542045.1
GCA_021729385.1
GCA_021729405.1
GCA_022354845.1
GCA_022964955.1
GCA_023023005.1
GCA_024206595.1
GCA_024206615.1
GCA_024206635.1
GCA_024206655.1
